what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.codegen.ui,2.6.0.v20160526-0356,"org.eclipse.emf.codegen.ui",1489445480608
stopped,bundle,org.eclipse.jpt.jaxb.eclipselink.core,1.3.200.v201603180253,"org.eclipse.jpt.jaxb.eclipselink.core",1489445480611
stopped,bundle,org.eclipse.jpt.common.eclipselink.core,1.3.200.v201603180253,"org.eclipse.jpt.common.eclipselink.core",1489445480614
stopped,bundle,org.eclipse.jpt.jaxb.core,1.4.100.v201603180253,"org.eclipse.jpt.jaxb.core",1489445480616
stopped,bundle,org.eclipse.jpt.common.core,1.5.0.v201603181811,"org.eclipse.jpt.common.core",1489445480617
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotation.model,1.1.300.v201004110730,"org.eclipse.jst.j2ee.ejb.annotation.model",1489445480619
stopped,bundle,org.eclipse.jst.jee.ejb,1.0.400.v201305061702,"org.eclipse.jst.jee.ejb",1489445480621
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.550.v201505131719,"org.eclipse.jst.ws.axis.consumption.core",1489445480623
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.300.v201309242118,"org.eclipse.jst.ws.axis2.core",1489445480626
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.900.v201605241434,"org.eclipse.jst.ws.consumption",1489445480629
stopped,bundle,org.eclipse.jst.ws,1.0.750.v201503231435,"org.eclipse.jst.ws",1489445480631
stopped,bundle,org.eclipse.jst.ws,1.0.507.v201004211805,"org.eclipse.jst.ws",1489445480633
stopped,bundle,org.eclipse.jst.j2ee.ejb,1.1.800.v201404021607,"org.eclipse.jst.j2ee.ejb",1489445480636
stopped,bundle,org.eclipse.jst.jee.web,1.0.500.v201404021628,"org.eclipse.jst.jee.web",1489445480637
stopped,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.600.v201505131719,"org.eclipse.jst.ws.jaxrs.core",1489445480637
stopped,bundle,org.eclipse.jst.j2ee.web,1.1.851.v201608191717,"org.eclipse.jst.j2ee.web",1489445480640
stopped,bundle,org.eclipse.jst.jee,1.0.700.v201404092004,"org.eclipse.jst.jee",1489445480642
stopped,bundle,org.eclipse.jst.j2ee.jca,1.1.800.v201602161345,"org.eclipse.jst.j2ee.jca",1489445480644
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201302011850,"org.eclipse.jst.j2ee.webservice",1489445480648
stopped,bundle,org.eclipse.jst.jsf.facesconfig,1.5.0.v201309172102,"org.eclipse.jst.jsf.facesconfig",1489445480654
stopped,bundle,org.eclipse.jst.j2ee,1.1.900.v201607282038,"org.eclipse.jst.j2ee",1489445480655
stopped,bundle,org.eclipse.emf.codegen,2.11.0.v20160526-0356,"org.eclipse.emf.codegen",1489445480663
