what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1489445440987
arch,sysinfo,,,"x86_64",1489445440987
ws,sysinfo,,,"win32",1489445440987
locale,sysinfo,,,"pt_BR",1489445440987
processors,sysinfo,,,"4",1489445440987
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1489445440987
java.runtime.version,sysinfo,,,"1.8.0_102-b14",1489445440987
java.specification.name,sysinfo,,,"Java Platform API Specification",1489445440987
java.specification.vendor,sysinfo,,,"Oracle Corporation",1489445440987
java.specification.version,sysinfo,,,"1.8",1489445440987
java.vendor,sysinfo,,,"Oracle Corporation",1489445440987
java.version,sysinfo,,,"1.8.0_102",1489445440987
java.vm.info,sysinfo,,,"mixed mode",1489445440987
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1489445440987
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1489445440987
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1489445440987
java.vm.specification.version,sysinfo,,,"1.8",1489445440987
java.vm.vendor,sysinfo,,,"Oracle Corporation",1489445440987
java.vm.version,sysinfo,,,"25.102-b14",1489445440987
started,bundle,org.eclipse.rse.files.ui,3.2.200.201507172213,"org.eclipse.rse.files.ui",1489445441108
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489445465438
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489445469241
started,bundle,org.eclipse.wst.common.frameworks,1.2.200.v201304241450,"org.eclipse.wst.common.frameworks",1489445470344
started,bundle,org.eclipse.wst.common.emf,1.2.400.v201505132009,"org.eclipse.wst.common.emf",1489445470387
started,bundle,org.eclipse.jem.util,2.1.200.v201404021757,"org.eclipse.jem.util",1489445470408
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107081800,"org.eclipse.wst.common.emfworkbench.integration",1489445470423
started,bundle,org.eclipse.wst.common.modulecore,1.2.401.v201408132036,"org.eclipse.wst.common.modulecore",1489445470502
started,bundle,org.eclipse.jst.j2ee.core,1.3.200.v201505041449,"org.eclipse.jst.j2ee.core",1489445470520
started,bundle,org.eclipse.jem,2.0.600.v201302011850,"org.eclipse.jem",1489445470561
started,bundle,org.eclipse.wst.xml.core,1.1.1000.v201605120036,"org.eclipse.wst.xml.core",1489445470625
started,bundle,org.eclipse.wst.validation,1.2.700.v201508251749,"org.eclipse.wst.validation",1489445470657
started,bundle,org.eclipse.jst.j2ee,1.1.900.v201607282038,"org.eclipse.jst.j2ee",1489445470745
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.601.v201602241911,"org.eclipse.wst.jsdt.manipulation",1489445471165
started,bundle,org.eclipse.wst.jsdt.core,2.0.0.v201608251059,"org.eclipse.wst.jsdt.core",1489445471529
started,bundle,org.eclipse.wst.jsdt.ui,2.0.0.v201608301904,"org.eclipse.wst.jsdt.ui",1489445471730
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489445473894
executed,command,org.eclipse.ltk.ui.refactoring,3.8.0.v20160518-1817,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1489445473937
executed,command,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.edit.delete",1489445473956
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.300.v20160504-1450,"org.eclipse.equinox.p2.garbagecollector",1489445474205
error,log,,,"Problem writing to Z:/3/meu/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/system.js",1489445474759
error,log,,,"Problem writing to Z:/3/meu/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/baseBrowserLibrary.js",1489445474834
error,log,,,"Problem writing to Z:/3/meu/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/browserWindow.js",1489445474872
error,log,,,"Problem writing to Z:/3/meu/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/xhr.js",1489445474921
error,log,,,"Problem writing to Z:/3/meu/.metadata/.plugins/org.eclipse.wst.jsdt.core/libraries/dom5.js",1489445474956
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489445475129
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489445476377
closed,view,org.eclipse.mylyn.tasks.ui,3.21.0.v20160913-2131,"org.eclipse.mylyn.tasks.ui.views.tasks",1489445476824
