what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1489445066929
java.runtime.version,sysinfo,,,"1.8.0_102-b14",1489445066929
java.specification.name,sysinfo,,,"Java Platform API Specification",1489445066929
java.specification.vendor,sysinfo,,,"Oracle Corporation",1489445066929
java.specification.version,sysinfo,,,"1.8",1489445066929
java.vendor,sysinfo,,,"Oracle Corporation",1489445066929
java.version,sysinfo,,,"1.8.0_102",1489445066929
java.vm.info,sysinfo,,,"mixed mode",1489445066929
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1489445066929
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1489445066929
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1489445066929
java.vm.specification.version,sysinfo,,,"1.8",1489445066929
java.vm.vendor,sysinfo,,,"Oracle Corporation",1489445066929
java.vm.version,sysinfo,,,"25.102-b14",1489445066929
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.300.v20160504-1450,"org.eclipse.equinox.p2.garbagecollector",1489445068342
started,bundle,org.eclipse.cft.server.ui,1.0.107.v201611302157,"org.eclipse.cft.server.ui",1489445069561
started,bundle,org.eclipse.cft.server.standalone.ui,1.0.4.v201611302157,"org.eclipse.cft.server.standalone.ui",1489445069562
started,bundle,org.eclipse.tm.terminal.connector.local,4.2.0.201609191434,"org.eclipse.tm.terminal.connector.local",1489445069589
started,bundle,org.eclipse.tm.terminal.control,4.2.0.201609191434,"org.eclipse.tm.terminal.control",1489445069593
started,bundle,org.eclipse.jst.servlet.ui,1.1.900.v201605251556,"org.eclipse.jst.servlet.ui",1489445069767
started,bundle,org.eclipse.m2e.wtp,1.3.1.20160831-1005,"org.eclipse.m2e.wtp",1489445069776
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489445082476
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489445083556
closed,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1489445083827
closed,view,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.ui.views.AllMarkersView",1489445083913
closed,view,org.eclipse.ui.navigator.resources,3.5.101.v20161006-0640,"org.eclipse.ui.navigator.ProjectExplorer",1489445083995
closed,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1489445084348
stopped,bundle,org.eclipse.m2e.logback.configuration,1.7.0.20160603-1933,"org.eclipse.m2e.logback.configuration",1489445087120
stopped,bundle,org.eclipse.recommenders.apidocs.rcp,2.4.5.v20161130-1427,"org.eclipse.recommenders.apidocs.rcp",1489445087125
